x, y
-2.4375, -0.4166666666666665
-2.1494565217391304, -0.75
-2.1222826086956523, 0.33333333333333337
-2.1114130434782608, -1.1666666666666665
-2.067934782608696, -0.9166666666666665
-2.0353260869565215, -0.6666666666666665
-2.005434782608696, -0.6666666666666665
-1.983695652173913, -0.33333333333333326
-1.9646739130434783, 0.33333333333333337
-1.951086956521739, 1.3333333333333333
-1.9429347826086956, 2.25
-1.934782608695652, 2.833333333333333
-1.934782608695652, -5
-1.9320652173913042, -4.166666666666666
-1.9313406322313391, -3.4305559794108067
-1.929619540338931, -2.797222137451172
-1.9210144955178965, -2.163888295491536
-1.9124094506968623, -1.5305569966634112
-1.9003623050192127, -1.00277837117513
-1.884873224341351, -0.6333325703938801
-1.8573369979858398, -0.4749997456868489
-1.8349637985229492, -0.31666692097981763
-1.8160326169884722, -0.31666692097981763
-1.7867753816687542, -0.2111117045084634
-1.7867753816687542, -0.2111117045084634
-1.7833333637403406, 0.5277773539225261
-1.7798913458119268, 1.6361096700032551
-1.771286218062691, 2.797222137451172
-1.7678442001342773, 3.958332061767578
-1.7626811732416567, 4.697221120198567
-1.7575181463490361, 5.700000762939453
-1.7575181463490361, -5.75277837117513
-1.7575181463490361, -5.75277837117513
-1.7540761284206223, -4.855556488037109
-1.7506341104922087, -4.2750002543131504
-1.7454710006713867, -3.4833335876464844
-1.7454710006713867, -2.8499997456868487
-1.742028982742973, -1.900000254313151
-1.7351449468861455, -1.1611111958821612
-1.7179347743158755, -0.6333325703938801
-1.693840565888778, -0.4749997456868489
-1.6783514852109163, -0.5277773539225259
-1.6611413126406462, -0.31666692097981763
-1.6559782857480256, 0.474999745686849
-1.6490942498911982, 1.1611111958821614
-1.6439311400703762, 1.7416674296061196
-1.6370471042135486, 2.533334096272786
-1.6318840773209282, 3.6416664123535156
-1.6318840773209282, 3.6416664123535156
-1.6318840773209282, -3.799999237060547
-1.6318840773209282, -3.799999237060547
-1.6284420593925144, -3.325000762939453
-1.6198369316432786, -2.427778879801432
-1.6198369316432786, -2.427778879801432
-1.614673904750658, -1.8472226460774737
-1.6129528957864512, -1.2138888041178384
-1.604347850965417, -0.5805549621582031
-1.5957428061443826, 0.10555648803710938
-1.5905796963235606, 0.8444430033365886
-1.5819746515025264, 1.3194440205891926
-1.5768116246099058, 2.058333079020182
